北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
 yes yes  (G0004_S0001_0_SPK001-1588.580-1590.010.wav)
我们真是心有零袖我正想和你非周杰论它可是我们的男神呢  (G0004_S0001_0_SPK001-1590.260-1597.603.wav)
 yes那 do you  (G0004_S0001_0_SPK001-1606.370-1609.132.wav)
来他的  (G0004_S0001_0_SPK001-1609.790-1611.196.wav)
哪一些哪一些  (G0004_S0001_0_SPK001-1612.130-1614.460.wav)
呃 some  (G0004_S0001_0_SPK001-1615.010-1616.290.wav)
山  (G0004_S0001_0_SPK001-1616.810-1617.610.wav)
哦这是一部这是一首  (G0004_S0001_0_SPK001-1629.227-1632.521.wav)
爱情主题的呃上  (G0004_S0001_0_SPK001-1633.070-1636.060.wav)
稻香  (G0004_S0001_0_SPK001-1645.670-1646.620.wav)
哇  (G0004_S0001_0_SPK001-1646.930-1647.940.wav)
瞬间有了  (G0004_S0001_0_SPK001-1648.580-1650.010.wav)
呃 yes yes  (G0004_S0001_0_SPK001-1664.357-1666.537.wav)
呃就比如  (G0004_S0001_0_SPK001-1666.820-1668.357.wav)
就比如说周  (G0004_S0001_0_SPK001-1668.889-1670.380.wav)
周杰伦还有  (G0004_S0001_0_SPK001-1670.750-1672.852.wav)
还有  (G0004_S0001_0_SPK001-1673.480-1674.310.wav)
哦  (G0004_S0001_0_SPK001-1675.160-1675.680.wav)
还有一些  (G0004_S0001_0_SPK001-1676.870-1677.712.wav)
嗯  (G0004_S0001_0_SPK001-1679.147-1679.890.wav)
外国的 singer比如说 i you  (G0004_S0001_0_SPK001-1680.920-1684.540.wav)
 i you do you  (G0004_S0001_0_SPK001-1684.880-1686.280.wav)
对  (G0004_S0001_0_SPK001-1686.560-1687.101.wav)
都  (G0004_S0001_0_SPK001-1687.430-1688.174.wav)
听过吗  (G0004_S0001_0_SPK001-1690.286-1691.080.wav)
 about  (G0004_S0001_0_SPK001-1699.670-1700.354.wav)
是韩国的他 his name  (G0004_S0001_0_SPK001-1704.140-1707.191.wav)
 i you  (G0004_S0001_0_SPK001-1707.708-1708.720.wav)
他是一个  (G0004_S0001_0_SPK001-1708.940-1710.233.wav)
 beautiful girl他的是他在  (G0004_S0001_0_SPK001-1710.710-1713.640.wav)
它的 music也非常的好听而且它对我们这些 fans非常的  (G0004_S0001_0_SPK001-1714.400-1719.640.wav)
非常的照顾它  (G0004_S0001_0_SPK001-1719.950-1721.620.wav)
 no no no他他是 a no one他是一个人 one people  (G0004_S0001_0_SPK001-1723.130-1728.163.wav)
它会很多的  (G0004_S0001_0_SPK001-1730.270-1732.322.wav)
呃乐器呃 she play  (G0004_S0001_0_SPK001-1732.820-1736.500.wav)
 play guitar  (G0004_S0001_0_SPK001-1737.260-1738.390.wav)
专门学学给他然后然后学学 chinese  (G0004_S0001_0_SPK001-1739.497-1745.230.wav)
呃然后唱呃唱歌来给我们这些  (G0004_S0001_0_SPK001-1745.390-1748.672.wav)
 face  (G0004_S0001_0_SPK001-1749.860-1750.570.wav)
 yes它的 chinese name chinese name是理智恩  (G0004_S0001_0_SPK001-1760.810-1766.590.wav)
你  (G0004_S0001_0_SPK001-1767.380-1768.060.wav)
你知  (G0004_S0001_0_SPK001-1768.280-1769.380.wav)
 yeah  (G0004_S0001_0_SPK001-1770.470-1771.424.wav)
这  (G0004_S0001_0_SPK001-1775.090-1775.520.wav)
比如说他  (G0004_S0001_0_SPK001-1785.230-1786.420.wav)
 fantic  (G0004_S0001_0_SPK001-1791.290-1792.390.wav)
 f task star他是一个非非常令人着迷的歌手  (G0004_S0001_0_SPK001-1792.610-1797.220.wav)
 yes  (G0004_S0001_0_SPK001-1808.780-1810.275.wav)
她是呃 she is my女神啊女神啊  (G0004_S0001_0_SPK001-1811.660-1815.586.wav)
 yes  (G0004_S0001_0_SPK001-1819.406-1820.320.wav)
在我  (G0004_S0001_0_SPK001-1820.630-1821.623.wav)
